Grievance Title,Brief Summary,Category,Department,Detailed Description,Location / Ward No,Priority Level,Attachment Name,Internal Notes,Date Submitted,Status
"Sanitation Issue at Sector 15, Heritage Colony - 133","Complaint regarding sanitation in Sector 15, Heritage Colony.",Sanitation,Municipal Corporation,"Drainage blockage causing water logging in Sector 15, Heritage Colony.","Sector 15, Heritage Colony",Low,None,Assigned to Municipal Corporation team.,2025-07-21,Escalated
"Public Safety Issue at Sector 10, Heritage Colony - 605","Complaint regarding public safety in Sector 10, Heritage Colony.",Public Safety,Municipal Corporation,"Lack of police patrolling observed during night in Sector 10, Heritage Colony.","Sector 10, Heritage Colony",Low,evidence_99.jpg,Assigned to Municipal Corporation team.,2025-12-27,Escalated
"Healthcare Issue at Ward 2, Central Zone - 633","Complaint regarding healthcare in Ward 2, Central Zone.",Healthcare,Health & Family Welfare,"Emergency ambulance delayed by 9 hours for Ward 2, Central Zone.","Ward 2, Central Zone",Urgent,None,Assigned to Health & Family Welfare team.,2025-10-04,New
"Sanitation Issue at Ward 3, Central Zone - 993","Complaint regarding sanitation in Ward 3, Central Zone.",Sanitation,Municipal Corporation,"Illegal dumping of construction waste in Ward 3, Central Zone.","Ward 3, Central Zone",Urgent,None,Assigned to Municipal Corporation team.,2025-08-13,New
"Education Issue at Sector 15, Heritage Colony - 363","Complaint regarding education in Sector 15, Heritage Colony.",Education,Urban Development Authority,"School building in Sector 15, Heritage Colony needs urgent structural repairs.","Sector 15, Heritage Colony",Low,evidence_102.jpg,Assigned to Urban Development Authority team.,2025-07-11,Resolved
"Street Lighting Issue at Garden City, Phase 1 - 942","Complaint regarding street lighting in Garden City, Phase 1.",Street Lighting,Electricity Board,"New street light poles installed but not connected in Garden City, Phase 1.","Garden City, Phase 1",High,None,Assigned to Electricity Board team.,2025-10-27,Escalated
"Drainage Issue at Sector 18, Heritage Colony - 191","Complaint regarding drainage in Sector 18, Heritage Colony.",Drainage,Municipal Corporation,"Drain cover missing, posing a risk to children in Sector 18, Heritage Colony.","Sector 18, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2026-02-13,New
"Healthcare Issue at Sector 14, Heritage Colony - 504","Complaint regarding healthcare in Sector 14, Heritage Colony.",Healthcare,Health & Family Welfare,"Unsanitary conditions in the ward area of Sector 14, Heritage Colony hospital.","Sector 14, Heritage Colony",High,evidence_105.jpg,Assigned to Health & Family Welfare team.,2025-07-10,Escalated
"Public Safety Issue at Sector 14, Heritage Colony - 246","Complaint regarding public safety in Sector 14, Heritage Colony.",Public Safety,Police Department,"Stray animal menace in the parks of Sector 14, Heritage Colony.","Sector 14, Heritage Colony",High,None,Assigned to Police Department team.,2025-07-30,Escalated
"Healthcare Issue at Ward 8, Central Zone - 333","Complaint regarding healthcare in Ward 8, Central Zone.",Healthcare,Health & Family Welfare,"Government clinic in Ward 8, Central Zone lacks basic medicines.","Ward 8, Central Zone",Low,evidence_107.jpg,Assigned to Health & Family Welfare team.,2025-03-14,Resolved
"Drainage Issue at Ward 5, Central Zone - 161","Complaint regarding drainage in Ward 5, Central Zone.",Drainage,Public Works Department (PWD),"Drain cover missing, posing a risk to children in Ward 5, Central Zone.","Ward 5, Central Zone",Medium,None,Assigned to Public Works Department (PWD) team.,2025-06-15,Resolved
"Water Supply Issue at Ward 7, Central Zone - 847","Complaint regarding water supply in Ward 7, Central Zone.",Water Supply,Municipal Corporation,"Contaminated water with foul smell reported at Ward 7, Central Zone.","Ward 7, Central Zone",High,None,Assigned to Municipal Corporation team.,2025-05-03,Resolved
"Roads & Infrastructure Issue at Sector 18, Heritage Colony - 975","Complaint regarding roads & infrastructure in Sector 18, Heritage Colony.",Roads & Infrastructure,Urban Development Authority,"Major potholes on the main road of Sector 18, Heritage Colony.","Sector 18, Heritage Colony",Low,evidence_110.jpg,Assigned to Urban Development Authority team.,2025-04-26,Escalated
"Public Safety Issue at Sector 18, Heritage Colony - 209","Complaint regarding public safety in Sector 18, Heritage Colony.",Public Safety,Police Department,"Illegal parking blocking emergency exits in Sector 18, Heritage Colony.","Sector 18, Heritage Colony",High,None,Assigned to Police Department team.,2025-10-20,Resolved
"Drainage Issue at Ward 8, Central Zone - 428","Complaint regarding drainage in Ward 8, Central Zone.",Drainage,Public Works Department (PWD),"Main drain choked with plastic waste near Ward 8, Central Zone.","Ward 8, Central Zone",Urgent,None,Assigned to Public Works Department (PWD) team.,2025-03-24,Escalated
"Sanitation Issue at Garden City, Phase 5 - 903","Complaint regarding sanitation in Garden City, Phase 5.",Sanitation,Health & Family Welfare,"Sewage overflow reported in the back alley of Garden City, Phase 5.","Garden City, Phase 5",Medium,evidence_113.jpg,Assigned to Health & Family Welfare team.,2025-11-08,Resolved
"Street Lighting Issue at Ward 10, Central Zone - 412","Complaint regarding street lighting in Ward 10, Central Zone.",Street Lighting,Municipal Corporation,"Dark spots on the road due to non-functional lights in Ward 10, Central Zone.","Ward 10, Central Zone",Low,None,Assigned to Municipal Corporation team.,2025-06-25,Resolved
"Street Lighting Issue at Sector 15, Heritage Colony - 783","Complaint regarding street lighting in Sector 15, Heritage Colony.",Street Lighting,Electricity Board,"Street lights not working for 44 nights in Sector 15, Heritage Colony.","Sector 15, Heritage Colony",Urgent,None,Assigned to Electricity Board team.,2025-04-26,New
"Drainage Issue at Ward 2, Central Zone - 244","Complaint regarding drainage in Ward 2, Central Zone.",Drainage,Municipal Corporation,"Monsoon preparation for cleaning drains not started in Ward 2, Central Zone.","Ward 2, Central Zone",Low,evidence_116.jpg,Assigned to Municipal Corporation team.,2025-09-26,Escalated
"Public Safety Issue at Sector 13, Heritage Colony - 317","Complaint regarding public safety in Sector 13, Heritage Colony.",Public Safety,Municipal Corporation,"Increase in petty thefts reported in Sector 13, Heritage Colony after 9 PM.","Sector 13, Heritage Colony",Low,None,Assigned to Municipal Corporation team.,2025-11-24,In Progress
"Healthcare Issue at Ward 3, Central Zone - 453","Complaint regarding healthcare in Ward 3, Central Zone.",Healthcare,Municipal Corporation,"Government clinic in Ward 3, Central Zone lacks basic medicines.","Ward 3, Central Zone",Medium,None,Assigned to Municipal Corporation team.,2026-01-30,New
"Drainage Issue at Sector 16, Heritage Colony - 868","Complaint regarding drainage in Sector 16, Heritage Colony.",Drainage,Municipal Corporation,"Drain cover missing, posing a risk to children in Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-03-21,Resolved
"Sanitation Issue at Garden City, Phase 2 - 909","Complaint regarding sanitation in Garden City, Phase 2.",Sanitation,Health & Family Welfare,"Illegal dumping of construction waste in Garden City, Phase 2.","Garden City, Phase 2",Urgent,evidence_120.jpg,Assigned to Health & Family Welfare team.,2025-09-23,Escalated
"Electricity Issue at Ward 3, Central Zone - 849","Complaint regarding electricity in Ward 3, Central Zone.",Electricity,Urban Development Authority,"High voltage fluctuations causing damage to appliances in Ward 3, Central Zone.","Ward 3, Central Zone",Medium,None,Assigned to Urban Development Authority team.,2025-07-14,New
"Roads & Infrastructure Issue at Sector 18, Heritage Colony - 799","Complaint regarding roads & infrastructure in Sector 18, Heritage Colony.",Roads & Infrastructure,Public Works Department (PWD),"Illegal speed breaker installed at Sector 18, Heritage Colony.","Sector 18, Heritage Colony",High,None,Assigned to Public Works Department (PWD) team.,2025-12-22,Escalated
"Street Lighting Issue at Sector 18, Heritage Colony - 324","Complaint regarding street lighting in Sector 18, Heritage Colony.",Street Lighting,Municipal Corporation,"Street lights not working for 22 nights in Sector 18, Heritage Colony.","Sector 18, Heritage Colony",Low,evidence_123.jpg,Assigned to Municipal Corporation team.,2025-03-24,Resolved
"Drainage Issue at Garden City, Phase 2 - 457","Complaint regarding drainage in Garden City, Phase 2.",Drainage,Municipal Corporation,"Drain cover missing, posing a risk to children in Garden City, Phase 2.","Garden City, Phase 2",High,evidence_124.jpg,Assigned to Municipal Corporation team.,2025-03-10,Escalated
"Roads & Infrastructure Issue at Sector 19, Heritage Colony - 740","Complaint regarding roads & infrastructure in Sector 19, Heritage Colony.",Roads & Infrastructure,Urban Development Authority,"Street pavement broken near Sector 19, Heritage Colony.","Sector 19, Heritage Colony",Urgent,None,Assigned to Urban Development Authority team.,2025-04-25,Escalated
"Education Issue at Sector 12, Heritage Colony - 408","Complaint regarding education in Sector 12, Heritage Colony.",Education,Urban Development Authority,"Shortage of teaching staff for 13 semesters in Sector 12, Heritage Colony.","Sector 12, Heritage Colony",Low,None,Assigned to Urban Development Authority team.,2025-09-05,New
"Drainage Issue at Ward 8, Central Zone - 356","Complaint regarding drainage in Ward 8, Central Zone.",Drainage,Public Works Department (PWD),"Monsoon preparation for cleaning drains not started in Ward 8, Central Zone.","Ward 8, Central Zone",Urgent,None,Assigned to Public Works Department (PWD) team.,2025-11-27,In Progress
"Healthcare Issue at Garden City, Phase 4 - 202","Complaint regarding healthcare in Garden City, Phase 4.",Healthcare,Municipal Corporation,"Emergency ambulance delayed by 60 hours for Garden City, Phase 4.","Garden City, Phase 4",Urgent,evidence_128.jpg,Assigned to Municipal Corporation team.,2025-12-13,New
"Drainage Issue at Ward 6, Central Zone - 834","Complaint regarding drainage in Ward 6, Central Zone.",Drainage,Municipal Corporation,"Stinking smell from the open drain in Ward 6, Central Zone.","Ward 6, Central Zone",High,None,Assigned to Municipal Corporation team.,2025-06-15,Resolved
"Roads & Infrastructure Issue at Ward 1, Central Zone - 203","Complaint regarding roads & infrastructure in Ward 1, Central Zone.",Roads & Infrastructure,Urban Development Authority,"Road construction halted for 35 months in Ward 1, Central Zone.","Ward 1, Central Zone",Low,None,Assigned to Urban Development Authority team.,2026-01-28,New
"Electricity Issue at Ward 2, Central Zone - 360","Complaint regarding electricity in Ward 2, Central Zone.",Electricity,Electricity Board,"High voltage fluctuations causing damage to appliances in Ward 2, Central Zone.","Ward 2, Central Zone",Medium,None,Assigned to Electricity Board team.,2025-10-27,In Progress
"Water Supply Issue at Garden City, Phase 2 - 440","Complaint regarding water supply in Garden City, Phase 2.",Water Supply,Municipal Corporation,"Contaminated water with foul smell reported at Garden City, Phase 2.","Garden City, Phase 2",High,evidence_132.jpg,Assigned to Municipal Corporation team.,2025-07-25,New
"Public Safety Issue at Garden City, Phase 1 - 591","Complaint regarding public safety in Garden City, Phase 1.",Public Safety,Police Department,"Increase in petty thefts reported in Garden City, Phase 1 after 9 PM.","Garden City, Phase 1",Urgent,None,Assigned to Police Department team.,2025-07-01,New
"Healthcare Issue at Sector 10, Heritage Colony - 982","Complaint regarding healthcare in Sector 10, Heritage Colony.",Healthcare,Municipal Corporation,"Government clinic in Sector 10, Heritage Colony lacks basic medicines.","Sector 10, Heritage Colony",High,None,Assigned to Municipal Corporation team.,2026-01-19,Resolved
"Education Issue at Ward 6, Central Zone - 105","Complaint regarding education in Ward 6, Central Zone.",Education,Education Department,"Illegal encroachments near the playground of Ward 6, Central Zone school.","Ward 6, Central Zone",Urgent,evidence_135.jpg,Assigned to Education Department team.,2025-12-11,New
"Public Safety Issue at Garden City, Phase 2 - 743","Complaint regarding public safety in Garden City, Phase 2.",Public Safety,Police Department,"Increase in petty thefts reported in Garden City, Phase 2 after 9 PM.","Garden City, Phase 2",High,None,Assigned to Police Department team.,2025-04-28,New
